"Subject","Outcome","Estimate","se","t","p","Estimate.Strata","se.Strata","t.Strata","p.Strata","meanTime","medianTime"
"Mathematics","Quiz1",7.0501037344399,1.44121002728873,4.89179481196288,9.99205841845097e-07,7.31676551845525,1.87001491107944,3.91267763433594,9.59357395453608e-05,52.003984063745,34
"Mathematics","Quiz2",7.58854166666664,1.64726948808628,4.60673965101039,4.09031596371179e-06,7.25712394319978,2.00468905823169,3.62007460129562,0.000305686863796062,67.2010050251257,39
"Mathematics","Quiz3",9.24461267605642,2.0677284494114,4.47090268487043,7.78901370002139e-06,7.56537838978362,2.33185781904892,3.24435663614742,0.00120667083063553,64.1066666666667,45.5
"Mathematics","Quiz4",2.33052631578954,2.01644400005844,1.15576049507053,0.247779135977102,4.32862477841535,2.0959799344337,2.06520334822999,0.0390989257558363,45.9166666666667,33
"Mathematics","Quiz5",9.82810526315794,2.17750327761898,4.51347438333347,6.37741557052429e-06,7.10483473550335,1.99367423588167,3.56368889542346,0.000378714519844392,56.5959595959596,58
"Mathematics","Quiz6",9.29089041095891,2.0163393223178,4.60780103235746,4.06949789355515e-06,9.71200807356601,1.97532936449317,4.91665250774922,9.90984940330009e-07,70.3506493506494,60
"Mathematics","Quiz7",5.99540322580638,2.29537036145442,2.61195462243727,0.0090026202551412,3.86084692345381,2.06427395037427,1.87031712663613,0.0616611256114639,52.5,41
"Mathematics","Quiz8",11.4679365079365,3.05139941279165,3.7582548059301,0.000171102594015204,7.85302928570737,2.64861087803027,2.9649615014598,0.00308177034381241,45.6417910447761,26
"Mathematics","FinalAverage",1.86211507936508,0.802785068816857,2.31956865130721,0.0203642233410424,2.26508754685441,1.0404256656707,2.17707773038668,0.0296514468767874,195.992628992629,77
"Biology A","MidtermMC",7.31658536585367,2.52668475443417,2.8957254572473,0.00378283187297557,7.08089174216878,2.90214894462817,2.43987881989151,0.015819897164103,123.482142857143,49.5
"Biology A","FinalMC",15.2492857142857,6.36141425450503,2.39715338511188,0.0165230053988619,22.4043032916362,7.34644585920859,3.04967922189925,0.00266246935831482,340.147058823529,100.5
"Biology A","FinalAverage",1.70666666666664,2.43575659993366,0.700672089614011,0.483507677943696,3.36631720614354,2.63572733824898,1.27718719508366,0.203277770837206,406.784615384615,138
"Biology B","Quiz1",7.8789200680272,2.07717170330771,3.79310003861536,0.000148778182805342,7.0916627298446,3.47161729735349,2.04275475158243,0.0423200854600876,48.744,45
"Biology B","Quiz2",10.8472306397306,1.87383687556148,5.7887806463838,7.08992131670527e-09,13.3627971760389,3.20672409221524,4.16711784106368,4.49972129086262e-05,80.2033898305085,63.5
"Biology B","Quiz3",1.93816498316497,1.87378254072599,1.03435961272968,0.300968077794794,5.802031229836,2.75854476122546,2.10329421200275,0.0366250014321694,90.4786324786325,69
"Biology B","Quiz4",6.99604477611948,1.88810420116541,3.70532768890681,0.000211117613275968,7.14024351263646,2.90693782664357,2.45627665208126,0.0148464306529466,85.2830188679245,66
"Biology B","Quiz5",3.9431282051281,2.24935346549054,1.75300514820074,0.0796011233946348,5.95087006393211,3.0835482824042,1.92987737467574,0.0549628584970139,95.8543689320388,84
"Biology B","Quiz6",11.3023737373738,2.28863243964753,4.93848358590707,7.87324039519532e-07,11.0242043954177,3.15791736419373,3.49097304458199,0.000586499559990461,64.3505154639175,61
"Biology B","Quiz7",5.35146766169153,2.13792622227563,2.50311147594016,0.0123106761992111,7.502770943855,2.97820813425206,2.51922317233857,0.012499172224012,72.0481927710843,62
"Biology B","FinalAverage",3.2612702702701,1.86677062239957,1.74701178127499,0.080635294525677,3.76578007043666,3.03366302161987,1.24133103894508,0.215855208453253,401.727272727273,383
